timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597426619181,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426619187,3,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,3,0,1
1597426619190,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426619191,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597426619195,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426639197,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426639198,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,0
1597426639200,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426639201,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426639204,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426659204,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426659204,3,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,3,0,1
1597426659207,1,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,1,0,0
1597426659209,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426659211,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426679213,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426679214,2,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,2,0,0
1597426679216,2,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,2,0,0
1597426679218,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426679221,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426699221,0,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426699221,3,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,3,0,1
1597426699224,2,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,2,0,0
1597426699226,2,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597426699229,0,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426719231,1,Sampler for timer,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
1597426719233,5,HOME PAGE-3,200,,Clean Data Base 1-1,text,true,,22653,382,1,1,http://localhost:8080/,5,0,2
1597426719238,2,FOR GUESTS PAGE,200,,Clean Data Base 1-1,text,true,,4112,403,1,1,http://localhost:8080/guestbook.html,2,0,0
1597426719240,1,COMMENT BOOK,200,,Clean Data Base 1-1,text,true,,272,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597426719242,1,Debug Sampler,200,OK,Clean Data Base 1-1,text,true,,424,0,1,1,null,0,0,0
